free_text,address,price,price_meter,rooms,area,more,add_link,Powierzchnia,Forma własności,Liczba pokoi,Stan wykończenia,Piętro,Balkon / ogród / taras,Czynsz,Miejsce parkingowe,Obsługa zdalna,Ogrzewanie,Rynek,Typ ogłoszeniodawcy,Dostępne od,Rok budowy,Rodzaj zabudowy,Okna,Winda,Media,Zabezpieczenia,Wyposażenie,Informacje dodatkowe,Materiał budynku,scraping_date,address_new,Longitude,Latitude
"Pieczewo,2 poziomowe, 4 pokoje, balkon,","Mieszkanie na sprzedaż: ul. Władysława Gębika, Pieczewo, Olsztyn, warmińsko-mazurskie",570000.0,5605,4 pokoje,101.7,Biuro nieruchomości,/pl/oferta/pieczewo-2-poziomowe-4-pokoje-balkon-ID4nmVG,"101,7 m²",spółdzielcze wł. prawo do lokalu,4,do wykończenia,3/3,balkon,1 246 zł,Zapytaj,Zapytaj,miejskie,wtórny,biuro nieruchomości ,brak informacji,1998,blok,brak informacji,nie,brak informacji,domofon / wideofon,"meble, lodówka, piekarnik, zmywarka, kuchenka","dwupoziomowe, piwnica",inny,2024-01-16,"Władysława Gębika, Pieczewo, Olsztyn, warmińsko-mazurskie",20.5121461,53.7403366
Mieszkanie 3 pok - Kortowo,"Mieszkanie na sprzedaż: ul. Jarosława Iwaszkiewicza, Podgrodzie, Olsztyn, warmińsko-mazurskie",459000.0,7476,3 pokoje,61.4,Biuro nieruchomości,/pl/oferta/mieszkanie-3-pok-kortowo-ID4nmIj,"61,4 m²",pełna własność,3,do zamieszkania,4/4,Zapytaj,640 zł,Zapytaj,Zapytaj,miejskie,wtórny,biuro nieruchomości ,brak informacji,1990,blok,brak informacji,nie,brak informacji,brak informacji,meble,oddzielna kuchnia,wielka płyta,2024-01-16,"Jarosława Iwaszkiewicza, Podgrodzie, Olsztyn, warmińsko-mazurskie",20.4717263,53.7659735
"Przestronne, 4-pokojowe blisko plaży i jeziora","Mieszkanie na sprzedaż: ul. Armii Krajowej, Osiedle Kościuszki, Olsztyn, warmińsko-mazurskie",799000.0,8280,4 pokoje,96.5,Biuro nieruchomości,/pl/oferta/przestronne-4-pokojowe-blisko-plazy-i-jeziora-ID4mGfB,"96,5 m²",pełna własność,4,do zamieszkania,3/7,balkon,600 zł,Zapytaj,Zapytaj,miejskie,wtórny,biuro nieruchomości ,brak informacji,2013,apartamentowiec,brak informacji,tak,brak informacji,monitoring / ochrona,brak informacji,brak informacji,inny,2024-01-16,"Armii Krajowej, Osiedle Kościuszki, Olsztyn, warmińsko-mazurskie",20.489703261563648,53.772266099999996
Mieszkanie Osiedle Generałów- Rezerwacja,"Mieszkanie na sprzedaż: ul. gen. Stefana Grota Roweckiego, Osiedle Generałów, Olsztyn, warmińsko-mazurskie",399000.0,11145,2 pokoje,35.8,Biuro nieruchomości,/pl/oferta/mieszkanie-osiedle-generalow-rezerwacja-ID4nipW,"35,8 m²",pełna własność,2,Zapytaj,1/3,balkon,Zapytaj,Zapytaj,Zapytaj,miejskie,wtórny,biuro nieruchomości ,2023-09-28,2006,blok,brak informacji,nie,brak informacji,"teren zamknięty, domofon / wideofon","lodówka, meble, pralka",piwnica,cegła,2024-01-16,"gen. Stefana Grota Roweckiego, Osiedle Generałów, Olsztyn, warmińsko-mazurskie",20.4761486,53.7401588
Przytulne dwupokojowe mieszkanie na drugim piętrze,"Mieszkanie na sprzedaż: Osiedle Generałów, Olsztyn, warmińsko-mazurskie",309000.0,6753,2 pokoje,45.76,Biuro nieruchomości,/pl/oferta/przytulne-dwupokojowe-mieszkanie-na-drugim-pietrze-ID4nfQ0,"45,76 m²",Zapytaj,2,do wykończenia,2,Zapytaj,370 zł,Zapytaj,Zapytaj,Zapytaj,wtórny,biuro nieruchomości ,brak informacji,brak informacji,brak informacji,plastikowe,nie,brak informacji,brak informacji,brak informacji,brak informacji,brak informacji,2024-01-16,"Osiedle Generałów, Olsztyn, warmińsko-mazurskie",20.4792659,53.7373967
Doskonała inwestycja nieopodal Kortowa,"Mieszkanie na sprzedaż: al. Aleja Warszawska, Osiedle Grunwaldzkie, Olsztyn, warmińsko-mazurskie",359000.0,8548,2 pokoje,42.0,Biuro nieruchomości,/pl/oferta/doskonala-inwestycja-nieopodal-kortowa-ID4mqG8,42 m²,pełna własność,2,do zamieszkania,2/2,Zapytaj,"409,67 zł",Zapytaj,Zapytaj,gazowe,wtórny,biuro nieruchomości ,brak informacji,1936,kamienica,brak informacji,nie,brak informacji,brak informacji,meble,"piwnica, oddzielna kuchnia, pom. użytkowe",cegła,2024-01-16,"Aleja Warszawska, Osiedle Grunwaldzkie, Olsztyn, warmińsko-mazurskie",,
2-pokojowe mieszkanie w świetnej lokalizacji,"Mieszkanie na sprzedaż: al. Aleja Warszawska, Osiedle Grunwaldzkie, Olsztyn, warmińsko-mazurskie",359000.0,8548,2 pokoje,42.0,Biuro nieruchomości,/pl/oferta/2-pokojowe-mieszkanie-w-swietnej-lokalizacji-ID4mLjy,42 m²,pełna własność,2,do zamieszkania,2/2,Zapytaj,"409,67 zł",Zapytaj,Zapytaj,gazowe,wtórny,biuro nieruchomości ,brak informacji,1936,kamienica,brak informacji,nie,brak informacji,brak informacji,meble,"piwnica, oddzielna kuchnia, pom. użytkowe",cegła,2024-01-16,"Aleja Warszawska, Osiedle Grunwaldzkie, Olsztyn, warmińsko-mazurskie",,
Przestronne dwupokojowe mieszkanie Pieczewo,"Mieszkanie na sprzedaż: ul. Władysława Gębika, Pieczewo, Olsztyn, warmińsko-mazurskie",379999.0,8352,2 pokoje,45.5,Biuro nieruchomości,/pl/oferta/przestronne-dwupokojowe-mieszkanie-pieczewo-ID4nd7I,"45,5 m²",Zapytaj,2,do zamieszkania,5/5,Zapytaj,370 zł,Zapytaj,Zapytaj,Zapytaj,wtórny,biuro nieruchomości ,2023-09-22,1996,brak informacji,plastikowe,nie,brak informacji,brak informacji,"lodówka, piekarnik, kuchenka, pralka","piwnica, dwupoziomowe",brak informacji,2024-01-16,"Władysława Gębika, Pieczewo, Olsztyn, warmińsko-mazurskie",20.5121461,53.7403366
Mieszkanie 3 pokoje Olsztyn ul. Myszki Miki,"Mieszkanie na sprzedaż: ul. Myszki Miki, Jaroty, Olsztyn, warmińsko-mazurskie",661000.0,6992,3 pokoje,94.53,Biuro nieruchomości,/pl/oferta/mieszkanie-3-pokoje-olsztyn-ul-myszki-miki-ID4nclf,"94,53 m²",pełna własność,3,do zamieszkania,3/3,Zapytaj,Zapytaj,Zapytaj,Zapytaj,miejskie,wtórny,biuro nieruchomości ,2023-11-30,2008,blok,brak informacji,nie,brak informacji,brak informacji,meble,brak informacji,silikat,2024-01-16,"Myszki Miki, Jaroty, Olsztyn, warmińsko-mazurskie",20.5004569,53.734887
Mieszkanie bez barier architektonicznych,"Mieszkanie na sprzedaż: ul. Lawendowa, Redykajny, Olsztyn, warmińsko-mazurskie",579000.0,9214,3 pokoje,62.84,Biuro nieruchomości,/pl/oferta/mieszkanie-bez-barier-architektonicznych-ID4nbNi,"62,84 m²",pełna własność,3,do zamieszkania,parter/2,Zapytaj,Zapytaj,Zapytaj,tak,miejskie,wtórny,biuro nieruchomości ,brak informacji,2010,blok,plastikowe,nie,brak informacji,brak informacji,brak informacji,piwnica,cegła,2024-01-16,"Lawendowa, Redykajny, Olsztyn, warmińsko-mazurskie",20.4465177,53.8052023
"Dwa pokoje, duży balkon z widokiem na las","Mieszkanie na sprzedaż: ul. Tęczowy Las, Bartąg, Stawiguda, olsztyński, warmińsko-mazurskie",449000.0,9364,2 pokoje,47.95,Biuro nieruchomości,/pl/oferta/dwa-pokoje-duzy-balkon-z-widokiem-na-las-ID4nbhU,"47,95 m²",pełna własność,2,do zamieszkania,6/6,balkon,320 zł,garaż/miejsce parkingowe,Zapytaj,miejskie,wtórny,biuro nieruchomości ,2021-03-09,2008,blok,plastikowe,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka, pralka",pom. użytkowe,silikat,2024-01-16,"Tęczowy Las, Bartąg, Stawiguda, olsztyński, warmińsko-mazurskie",20.4961816,53.7303408
Mieszkanie w Centrum- Rezerwacja,"Mieszkanie na sprzedaż: ul. Krzysztofa Celestyna Mrongowiusza, Śródmieście, Olsztyn, warmińsko-mazurskie",499000.0,7088,3 pokoje,70.4,Biuro nieruchomości,/pl/oferta/mieszkanie-w-centrum-rezerwacja-ID4hKRn,"70,4 m²",pełna własność,3,Zapytaj,2/3,balkon,Zapytaj,Zapytaj,Zapytaj,miejskie,wtórny,biuro nieruchomości ,brak informacji,brak informacji,kamienica,brak informacji,nie,brak informacji,"teren zamknięty, domofon / wideofon",lodówka,"piwnica, oddzielna kuchnia",cegła,2024-01-16,"Krzysztofa Celestyna Mrongowiusza, Śródmieście, Olsztyn, warmińsko-mazurskie",20.4808352,53.7793651
Apartament przy ul. Augustowskiej!,"Mieszkanie na sprzedaż: ul. Augustowska, Osiedle Mazurskie, Olsztyn, warmińsko-mazurskie",549000.0,9913,2 pokoje,55.38,Biuro nieruchomości,/pl/oferta/apartament-przy-ul-augustowskiej-ID4naY8,"55,38 m²",Zapytaj,2,do zamieszkania,2/4,balkon,500 zł,garaż/miejsce parkingowe,Zapytaj,miejskie,wtórny,biuro nieruchomości ,brak informacji,2019,blok,brak informacji,tak,brak informacji,brak informacji,brak informacji,"piwnica, oddzielna kuchnia",brak informacji,2024-01-16,"Augustowska, Osiedle Mazurskie, Olsztyn, warmińsko-mazurskie",20.5104908,53.766483
Kawalerka bezczynszowa w centrum z ogródkiem,"Mieszkanie na sprzedaż: ul. Partyzantów, Osiedle Kętrzyńskiego, Olsztyn, warmińsko-mazurskie",399009.0,12627,1 pokój,31.6,Biuro nieruchomości,/pl/oferta/kawalerka-bezczynszowa-w-centrum-z-ogrodkiem-ID4naxK,"31,6 m²",pełna własność,1,do zamieszkania,parter/1,ogródek,1 zł,garaż/miejsce parkingowe,Zapytaj,gazowe,wtórny,biuro nieruchomości ,brak informacji,1920,kamienica,plastikowe,nie,brak informacji,"system alarmowy, teren zamknięty","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia",cegła,2024-01-16,"Partyzantów, Osiedle Kętrzyńskiego, Olsztyn, warmińsko-mazurskie",20.4879482,53.7826933
Dwupoziomowe mieszkanie na Jarotach,"Mieszkanie na sprzedaż: ul. Edwarda Mroza, Jaroty, Olsztyn, warmińsko-mazurskie",390000.0,8864,3 pokoje,44.0,Biuro nieruchomości,/pl/oferta/dwupoziomowe-mieszkanie-na-jarotach-ID4n9HE,44 m²,Zapytaj,3,Zapytaj,3/4,balkon,615 zł,garaż/miejsce parkingowe,Zapytaj,miejskie,wtórny,biuro nieruchomości ,brak informacji,1998,blok,plastikowe,nie,brak informacji,domofon / wideofon,brak informacji,"piwnica, oddzielna kuchnia",brak informacji,2024-01-16,"Edwarda Mroza, Jaroty, Olsztyn, warmińsko-mazurskie",20.496684,53.738284
REZERWACJA mieszkanie M45,"Mieszkanie na sprzedaż: ul. Wojciecha Kętrzyńskiego, Osiedle Kętrzyńskiego, Olsztyn, warmińsko-mazurskie",739282.0,7900,4 pokoje,93.58,Inwestycja deweloperska,/pl/oferta/rezerwacja-mieszkanie-m45-ID4eY2m,"93,58 m²",pełna własność,4,do wykończenia,3/4,balkon,Zapytaj,garaż/miejsce parkingowe,tak,miejskie,pierwotny,deweloper,brak informacji,2023,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon",brak informacji,"dwupoziomowe, pom. użytkowe",cegła,2024-01-16,"Wojciecha Kętrzyńskiego, Osiedle Kętrzyńskiego, Olsztyn, warmińsko-mazurskie",20.4943042,53.7827514
Villa Symfonia | Olsztyn | mieszkanie M31,"Mieszkanie na sprzedaż: ul. Wojciecha Kętrzyńskiego, Osiedle Kętrzyńskiego, Olsztyn, warmińsko-mazurskie",447739.7,8530,2 pokoje,52.49,Inwestycja deweloperska,/pl/oferta/villa-symfonia-olsztyn-mieszkanie-m31-ID4eY1Q,"52,49 m²",pełna własność,2,do wykończenia,parter/4,taras,Zapytaj,garaż/miejsce parkingowe,tak,miejskie,pierwotny,deweloper,brak informacji,2023,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon",brak informacji,"oddzielna kuchnia, pom. użytkowe",cegła,2024-01-16,"Wojciecha Kętrzyńskiego, Osiedle Kętrzyńskiego, Olsztyn, warmińsko-mazurskie",20.4943042,53.7827514
Mieszkanie na sprzedaż Olsztyn,"Mieszkanie na sprzedaż: Jaroty, Olsztyn, warmińsko-mazurskie",849000.0,8490,4 pokoje,100.0,Biuro nieruchomości,/pl/oferta/mieszkanie-na-sprzedaz-olsztyn-ID4n5Ja,100 m²,Zapytaj,4,do zamieszkania,parter/4,Zapytaj,850 zł,Zapytaj,Zapytaj,miejskie,wtórny,biuro nieruchomości ,brak informacji,2010,blok,brak informacji,tak,brak informacji,brak informacji,brak informacji,brak informacji,wielka płyta,2024-01-16,"Jaroty, Olsztyn, warmińsko-mazurskie",20.497921309754368,53.74069325
Niesamowity apartament do wprowadzenia od zaraz,"Mieszkanie na sprzedaż: ul. Poprzeczna, Podleśna, Olsztyn, warmińsko-mazurskie",579900.0,10256,3 pokoje,56.54,Biuro nieruchomości,/pl/oferta/niesamowity-apartament-do-wprowadzenia-od-zaraz-ID4n5zs,"56,54 m²",pełna własność,3,do zamieszkania,6/9,Zapytaj,300 zł,garaż/miejsce parkingowe,Zapytaj,Zapytaj,wtórny,biuro nieruchomości ,2023-09-13,2021,brak informacji,plastikowe,nie,brak informacji,brak informacji,"zmywarka, lodówka, meble, piekarnik, telewizor, pralka",piwnica,brak informacji,2024-01-16,"Poprzeczna, Podleśna, Olsztyn, warmińsko-mazurskie",20.508319,53.7911469
Mieszkanie do wprowadzenia od zaraz – na Nagórkach,"Mieszkanie na sprzedaż: ul. Franciszka Barcza, Nagórki, Olsztyn, warmińsko-mazurskie",375000.0,7684,2 pokoje,48.8,Biuro nieruchomości,/pl/oferta/mieszkanie-do-wprowadzenia-od-zaraz-na-nagorkach-ID4n5zt,"48,8 m²",Zapytaj,2,do zamieszkania,2/4,balkon,580 zł,garaż/miejsce parkingowe,Zapytaj,Zapytaj,wtórny,biuro nieruchomości ,2023-09-13,brak informacji,brak informacji,plastikowe,nie,brak informacji,brak informacji,"lodówka, meble, piekarnik, kuchenka, telewizor, pralka",piwnica,brak informacji,2024-01-16,"Franciszka Barcza, Nagórki, Olsztyn, warmińsko-mazurskie",20.5040556,53.7497739
Przytulne mieszkanie w kamienicy,"Mieszkanie na sprzedaż: ul. Henryka Sienkiewicza, Osiedle Kętrzyńskiego, Olsztyn, warmińsko-mazurskie",269000.0,7493,2 pokoje,35.9,Biuro nieruchomości,/pl/oferta/przytulne-mieszkanie-w-kamienicy-ID4n4tN,"35,9 m²",Zapytaj,2,Zapytaj,parter/2,Zapytaj,340 zł,Zapytaj,Zapytaj,Zapytaj,wtórny,biuro nieruchomości ,brak informacji,brak informacji,brak informacji,brak informacji,nie,brak informacji,brak informacji,brak informacji,piwnica,brak informacji,2024-01-16,"Henryka Sienkiewicza, Osiedle Kętrzyńskiego, Olsztyn, warmińsko-mazurskie",,
Przestronne mieszkanie w pięknej okolicy,"Mieszkanie na sprzedaż: ul. Kardynała Stanisława Hozjusza, Redykajny, Olsztyn, warmińsko-mazurskie",735000.0,6580,5 pokoi,111.7,Biuro nieruchomości,/pl/oferta/przestronne-mieszkanie-w-pieknej-okolicy-ID4n30b,"111,7 m²",pełna własność,5,do remontu,parter/3,balkon,Zapytaj,Zapytaj,Zapytaj,gazowe,wtórny,biuro nieruchomości ,brak informacji,1998,blok,brak informacji,nie,brak informacji,brak informacji,brak informacji,"piwnica, oddzielna kuchnia",pustak,2024-01-16,"Kardynała Stanisława Hozjusza, Redykajny, Olsztyn, warmińsko-mazurskie",20.4417835,53.8034933
Unikalny apartament nad brzegiem jeziora - Olsztyn,"Mieszkanie na sprzedaż: ul. Bałtycka, Likusy, Olsztyn, warmińsko-mazurskie",1200000.0,17143,3 pokoje,70.0,Biuro nieruchomości,/pl/oferta/unikalny-apartament-nad-brzegiem-jeziora-olsztyn-ID4fdfZ,70 m²,pełna własność,3,do wykończenia,2,taras,Zapytaj,garaż/miejsce parkingowe,Film,Zapytaj,wtórny,biuro nieruchomości ,brak informacji,2021,apartamentowiec,brak informacji,tak,brak informacji,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",brak informacji,pom. użytkowe,brak informacji,2024-01-16,"Bałtycka, Likusy, Olsztyn, warmińsko-mazurskie",20.4477184,53.7865686
Piękne i przestronne 56m po remoncie - z ogródkiem,"Mieszkanie na sprzedaż: Osiedle Wojska Polskiego, Olsztyn, warmińsko-mazurskie",480000.0,8511,3 pokoje,56.4,Biuro nieruchomości,/pl/oferta/piekne-i-przestronne-56m-po-remoncie-z-ogrodkiem-ID4n19n,"56,4 m²",Zapytaj,3,do zamieszkania,parter/1,Zapytaj,700 zł,Zapytaj,Zapytaj,miejskie,wtórny,biuro nieruchomości ,brak informacji,brak informacji,blok,brak informacji,nie,brak informacji,brak informacji,brak informacji,brak informacji,brak informacji,2024-01-16,"Osiedle Wojska Polskiego, Olsztyn, warmińsko-mazurskie",20.481134,53.7946642
Wyspiańskiego - w promieniach centrum,"Mieszkanie na sprzedaż: Osiedle Wojska Polskiego, Olsztyn, warmińsko-mazurskie",604236.0,12900,2 pokoje,46.84,Biuro nieruchomości,/pl/oferta/wyspianskiego-w-promieniach-centrum-ID4hoCR,"46,84 m²",Zapytaj,2,do wykończenia,parter/3,"balkon, ogródek, taras",Zapytaj,garaż/miejsce parkingowe,tak,miejskie,pierwotny,biuro nieruchomości ,brak informacji,2024,blok,brak informacji,tak,brak informacji,domofon / wideofon,brak informacji,brak informacji,silikat,2024-01-16,"Osiedle Wojska Polskiego, Olsztyn, warmińsko-mazurskie",20.481134,53.7946642
Nowe mieszkania na os. Generałów - deweloperskie,"Mieszkanie na sprzedaż: Osiedle Generałów, Olsztyn, warmińsko-mazurskie",469000.0,7876,3 pokoje,59.55,Biuro nieruchomości,/pl/oferta/nowe-mieszkania-na-os-generalow-deweloperskie-ID4mVqF,"59,55 m²",Zapytaj,3,Zapytaj,1/2,"balkon, taras",Zapytaj,Zapytaj,Zapytaj,Zapytaj,wtórny,biuro nieruchomości ,brak informacji,2022,brak informacji,plastikowe,nie,brak informacji,brak informacji,brak informacji,brak informacji,beton komórkowy,2024-01-16,"Osiedle Generałów, Olsztyn, warmińsko-mazurskie",20.4792659,53.7373967
Mieszkanie/ połowa domu z pięknym ogrodem!,"Mieszkanie na sprzedaż: ul. Juranda ze Spychowa, Osiedle Grunwaldzkie, Olsztyn, warmińsko-mazurskie",660000.0,8583,3 pokoje,76.9,Biuro nieruchomości,/pl/oferta/mieszkanie-polowa-domu-z-pieknym-ogrodem-ID4hX9f,"76,9 m²",pełna własność,3,do zamieszkania,1/1,Zapytaj,Zapytaj,Zapytaj,Zapytaj,gazowe,wtórny,biuro nieruchomości ,brak informacji,1936,dom wolnostojący,plastikowe,nie,brak informacji,brak informacji,brak informacji,brak informacji,cegła,2024-01-16,"Juranda ze Spychowa, Osiedle Grunwaldzkie, Olsztyn, warmińsko-mazurskie",,
Duże mieszkanie w centrum 4 pokoje Mazurska Olszty,"Mieszkanie na sprzedaż: ul. Mazurska 1, Osiedle Kętrzyńskiego, Olsztyn, warmińsko-mazurskie",620000.0,4960,4 pokoje,124.99,Biuro nieruchomości,/pl/oferta/duze-mieszkanie-w-centrum-4-pokoje-mazurska-olszty-ID4mo3i,"124,99 m²",pełna własność,4,do remontu,1/4,Zapytaj,249 zł,Zapytaj,Wirtualny spacer,gazowe,wtórny,biuro nieruchomości ,brak informacji,1906,kamienica,brak informacji,nie,"telewizja kablowa, internet, telefon",domofon / wideofon,"lodówka, meble, kuchenka","piwnica, oddzielna kuchnia, pom. użytkowe",brak informacji,2024-01-16,"Mazurska 1, Osiedle Kętrzyńskiego, Olsztyn, warmińsko-mazurskie",20.485307157679223,53.78193935
Mieszkanie 3 pokojowe Olsztyn ul. Jaroszyka,"Mieszkanie na sprzedaż: ul. Kazimierza Jaroszyka, Jaroty, Olsztyn, warmińsko-mazurskie",359000.0,5963,3 pokoje,60.2,Biuro nieruchomości,/pl/oferta/mieszkanie-3-pokojowe-olsztyn-ul-jaroszyka-ID4mP3r,"60,2 m²",Zapytaj,3,do remontu,3/4,Zapytaj,Zapytaj,Zapytaj,Zapytaj,miejskie,wtórny,biuro nieruchomości ,brak informacji,brak informacji,blok,brak informacji,nie,brak informacji,brak informacji,brak informacji,oddzielna kuchnia,brak informacji,2024-01-16,"Kazimierza Jaroszyka, Jaroty, Olsztyn, warmińsko-mazurskie",20.4897942,53.7416417
"Jaroty, 2-pok, taras, m.postojowe","Mieszkanie na sprzedaż: ul. Mazowiecka, Jaroty, Olsztyn, warmińsko-mazurskie",459000.0,7846,2 pokoje,58.5,Biuro nieruchomości,/pl/oferta/jaroty-2-pok-taras-m-postojowe-ID4mNh5,"58,5 m²",pełna własność,2,do zamieszkania,parter/4,"taras, balkon",565 zł,garaż/miejsce parkingowe,Wirtualny spacer,miejskie,wtórny,biuro nieruchomości ,brak informacji,2001,blok,brak informacji,nie,brak informacji,brak informacji,meble,piwnica,brak informacji,2024-01-16,"Mazowiecka, Jaroty, Olsztyn, warmińsko-mazurskie",20.4870369,53.7369806
Mieszkanie 4 pok - Jaroty,"Mieszkanie na sprzedaż: ul. Bartąska, Osiedle Generałów, Olsztyn, warmińsko-mazurskie",785000.0,10608,4 pokoje,74.0,Biuro nieruchomości,/pl/oferta/mieszkanie-4-pok-jaroty-ID4mL1W,74 m²,pełna własność,4,do zamieszkania,2/2,Zapytaj,590 zł,garaż/miejsce parkingowe,Zapytaj,miejskie,wtórny,biuro nieruchomości ,brak informacji,2008,blok,brak informacji,nie,brak informacji,brak informacji,brak informacji,brak informacji,inny,2024-01-16,"Bartąska, Osiedle Generałów, Olsztyn, warmińsko-mazurskie",20.4837601,53.7388922
/OMS,"Mieszkanie na sprzedaż: ul. Floriana Piotrowskiego, Jaroty, Olsztyn, warmińsko-mazurskie",499000.0,8928,3 pokoje,55.89,Biuro nieruchomości,/pl/oferta/oms-ID4mh7Z,"55,89 m²",pełna własność,3,do zamieszkania,3/4,balkon,530 zł,Zapytaj,Zapytaj,miejskie,wtórny,biuro nieruchomości ,2023-10-01,2013,blok,brak informacji,nie,brak informacji,domofon / wideofon,meble,brak informacji,brak informacji,2024-01-16,"Floriana Piotrowskiego, Jaroty, Olsztyn, warmińsko-mazurskie",20.4922394,53.7374948
Sprzedane 3-pokojowe mieszkanie na Nagórkach,"Mieszkanie na sprzedaż: ul. Franciszka Barcza, Nagórki, Olsztyn, warmińsko-mazurskie",435000.0,7202,3 pokoje,60.4,Biuro nieruchomości,/pl/oferta/sprzedane-3-pokojowe-mieszkanie-na-nagorkach-ID4mJ4M,"60,4 m²",Zapytaj,3,Zapytaj,2/10,balkon,800 zł,Zapytaj,Zapytaj,Zapytaj,wtórny,biuro nieruchomości ,brak informacji,1980,brak informacji,plastikowe,nie,brak informacji,brak informacji,brak informacji,"piwnica, pom. użytkowe",brak informacji,2024-01-16,"Franciszka Barcza, Nagórki, Olsztyn, warmińsko-mazurskie",20.5040556,53.7497739
"Mieszkanie, 33,50 m², Olsztyn","Mieszkanie na sprzedaż: ul. Józefa Ignacego Kraszewskiego, Osiedle Wojska Polskiego, Olsztyn, warmińsko-mazurskie",222000.0,6627,2 pokoje,33.5,Biuro nieruchomości,/pl/oferta/mieszkanie-33-50-m-olsztyn-ID4mI4r,"33,5 m²",pełna własność,2,do zamieszkania,parter/3,Zapytaj,Zapytaj,Zapytaj,tak,gazowe,wtórny,biuro nieruchomości ,brak informacji,1933,kamienica,plastikowe,nie,brak informacji,brak informacji,brak informacji,piwnica,cegła,2024-01-16,"Józefa Ignacego Kraszewskiego, Osiedle Wojska Polskiego, Olsztyn, warmińsko-mazurskie",,
Mieszkanie 3 pok - Kortowo - Kampus Medycyny,"Mieszkanie na sprzedaż: ul. Władysława Orkana, Podgrodzie, Olsztyn, warmińsko-mazurskie",398000.0,6946,3 pokoje,57.3,Biuro nieruchomości,/pl/oferta/mieszkanie-3-pok-kortowo-kampus-medycyny-ID4mFgd,"57,3 m²",pełna własność,3,do zamieszkania,2/3,Zapytaj,200 zł,Zapytaj,Zapytaj,elektryczne,wtórny,biuro nieruchomości ,brak informacji,1950,brak informacji,brak informacji,nie,brak informacji,monitoring / ochrona,meble,"piwnica, pom. użytkowe",cegła,2024-01-16,"Władysława Orkana, Podgrodzie, Olsztyn, warmińsko-mazurskie",20.474394,53.7733388
"Mieszkanie idealne pod lokal, wejście od ulicy","Mieszkanie na sprzedaż: Osiedle Kętrzyńskiego, Olsztyn, warmińsko-mazurskie",299000.0,6115,2 pokoje,48.9,Biuro nieruchomości,/pl/oferta/mieszkanie-idealne-pod-lokal-wejscie-od-ulicy-ID4mDOu,"48,9 m²",Zapytaj,2,do remontu,parter/2,Zapytaj,449 zł,Zapytaj,Zapytaj,piece kaflowe,wtórny,biuro nieruchomości ,brak informacji,1900,kamienica,drewniane,nie,internet,brak informacji,brak informacji,piwnica,cegła,2024-01-16,"Osiedle Kętrzyńskiego, Olsztyn, warmińsko-mazurskie",20.518244426015578,53.78198535
"Jaroty, 2-pokojowe mieszkanie z garderobą","Mieszkanie na sprzedaż: ul. Floriana Piotrowskiego, Osiedle Generałów, Olsztyn, warmińsko-mazurskie",349000.0,4532,2 pokoje,77.0,Biuro nieruchomości,/pl/oferta/jaroty-2-pokojowe-mieszkanie-z-garderoba-ID4mCOg,77 m²,pełna własność,2,do wykończenia,3/3,Zapytaj,Zapytaj,Zapytaj,Zapytaj,miejskie,wtórny,biuro nieruchomości ,brak informacji,1997,blok,brak informacji,nie,brak informacji,domofon / wideofon,brak informacji,piwnica,brak informacji,2024-01-16,"Floriana Piotrowskiego, Osiedle Generałów, Olsztyn, warmińsko-mazurskie",,
Gotowy do wejścia | Olimpijska | Jezioro | Okazja,"Mieszkanie na sprzedaż: ul. Olimpijska, Likusy, Olsztyn, warmińsko-mazurskie",499000.0,17821,2 pokoje,28.0,Biuro nieruchomości,/pl/oferta/gotowy-do-wejscia-olimpijska-jezioro-okazja-ID4m9S8,28 m²,Zapytaj,2,do zamieszkania,parter/1,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie,wtórny,biuro nieruchomości ,brak informacji,2022,apartamentowiec,brak informacji,nie,brak informacji,"monitoring / ochrona, domofon / wideofon",meble,brak informacji,brak informacji,2024-01-16,"Olimpijska, Likusy, Olsztyn, warmińsko-mazurskie",20.4415606,53.7844785
Mieszkanie blisko centrum,"Mieszkanie na sprzedaż: al. Aleja Warszawska, Osiedle Grunwaldzkie, Olsztyn, warmińsko-mazurskie",422000.0,7106,3 pokoje,59.39,Biuro nieruchomości,/pl/oferta/mieszkanie-blisko-centrum-ID4mBcb,"59,39 m²",pełna własność,3,Zapytaj,parter/1,Zapytaj,530 zł,Zapytaj,Zapytaj,Zapytaj,wtórny,biuro nieruchomości ,brak informacji,1930,brak informacji,brak informacji,nie,brak informacji,brak informacji,brak informacji,brak informacji,brak informacji,2024-01-16,"Aleja Warszawska, Osiedle Grunwaldzkie, Olsztyn, warmińsko-mazurskie",,
